trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
283,False,"{'a': 0.01, 'e': 0.05901285366944784}",20,2,25.886760359306347,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.05842566596450083}",30,19,6.060541494416771,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.057844320874838456}",20,3,-11.681997563683968,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.01, 'e': 0.05726876026546736}",20,8,8.44095213777963,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.0566989265798469}",20,0,14.51642594954425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
288,False,"{'a': 0.01, 'e': 0.056134762834133725}",20,8,23.759995179671428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148306}",30,20,19.388417690187936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05502322005640723}",20,0,5.534535167796931,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
291,False,"{'a': 0.01, 'e': 0.05447572986918986}",30,11,17.291535492600588,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05393368730035602}",25,0,16.23250013640122,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
293,False,"{'a': 0.01, 'e': 0.053397038145197084}",25,8,31.610262847076967,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.05286572873835037}",30,0,3.4038905109783832,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
295,False,"{'a': 0.01, 'e': 0.05233970594843238}",20,11,13.73531202131975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
